"","zip","X1br_rent","X2br_rent","X3br_rent","studio_rent","all_rent","X1br_availability","X2br_availability","X3br_availability","studio_availability","population","population_density","median_household_income","mean_household_income","land_area","water_area","white","black","asian","hispanic","male_population","median_age","missing_X1br_rent","missing_X2br_rent","missing_X3br_rent","missing_studio_rent","missing_all_rent","missing_median_household_income","missing_mean_household_income","missing_black","missing_asian"
"1",93635,2222.27441520177,2843.85875670099,1562.81000412866,2269.58319943235,2541.81684576135,0,1,1,0,38776,144.8,48542,61533,259.19,8.53,59.4,3.6,3.1,64.1,50.1,30.2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2",94002,2175,2700,3950,2075,2485,39,33,17,17,25992,4582.5,102611,130855,5.66,0.01,67.5,1.6,19.9,11.7,48.8,40.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",94005,2000,2900,3455.30176780836,1570,2400,3,6,1,3,4282,937.3,79171,113108,4.4,0.17,60.2,1.9,25.3,16.6,50.2,41.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",94010,2197,2937,4795,1850,2397,62,48,11,13,40737,3416.6,96786,175786,11.84,0.09,67.6,1,22.4,10.8,47.9,42.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",94014,1800,3125,2900,1650,2679,33,35,29,4,47014,7454.3,68495,84273,6.31,0,24.9,3.5,49,34.2,49.6,37.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",94015,1900,2745,3500,1725,2200,37,32,18,13,60927,10575.5,76954,91355,5.76,0,24,3.5,59,16.2,49.1,39.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",94019,2700,3425,3500,2367.17729681486,3375,6,10,5,1,18424,346.6,96172,131635,52.6,0.56,76.8,0.8,3.9,29.7,49.3,42.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",94020,2603.95744236192,3674.28720588094,4251.74696179359,1724.6464387414,3370.76136320294,1,0,0,0,1559,27.8999999999996,122024,142744,55.77,0.03,88.1,1.1,2.6,8.5,52.7,48.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"9",94021,2367.75068545988,2723.46847703069,3237.47587958767,2107.98353203878,2728.46962867934,0,0,0,0,192,42.3999999999996,91458,83749,4.53,0,88,1,3.1,15.6,49,38,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10",94022,3500,3700,5495,2948.92112610125,3897,7,12,11,0,18500,1057.9,154243,234872,17.49,0,71,0.5,23.6,3.3,48.3,48.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",94024,1895,3100,5000,1888.67026694843,3325,11,8,11,2,22385,3065.8,166742,228696,7.3,0,69.3,0.5,24.7,4,48.9,46.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",94025,2325,3280,4703,1850,2995,68,95,34,23,40526,3447.7,114149,171793,11.75,0,71,4.1,9.7,19,48.7,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",94027,2975,3000,6987.77148228807,2259.7970108582,2987,5,5,1,1,7089,1355.6,218214,391327,5.2,0.03,80.5,1.1,13.2,4,49,48.3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",94028,2718.41513029587,3577.60059773977,6123.44007129235,947.835281891875,3400,1,2,2,1,6534,425.8,162271,320475,15.24,0.11,89.4,0.4,5.9,4.7,49.5,50,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",94030,1937,3395,4295,2179.56994941311,3395,12,36,14,1,21536,6337.4,86364,108474,3.39,0.01,47.3,0.8,42.7,11.9,47.4,44.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",94037,2244.41827137267,3021.2911362395,4171.20758134118,1528.34742340878,2977.29157479762,1,1,0,0,2913,503.5,119537,128776,5.79,0,85.5,0.6,4.9,11.3,48.1,46,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"17",94038,2866.83183194793,3676.41910780463,3800,1824.46598490378,3800,0,0,3,0,3040,1929,80469,111481,1.58,0,73.6,0.8,3.8,29.2,49.8,43.1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",94040,2150,2795,4250,1775,2395,163,102,19,21,32996,8944.6,95072,123840,3.69,0,55.5,1.8,27.2,20.8,50.8,35.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",94041,2411,3100,4900,1587,3000,56,59,21,4,13292,8688.8,87231,122034,1.53,0,59.9,2.2,21.6,24.8,51.6,35.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",94043,2250,2995,4387,1825,2975,65,97,54,15,28358,2656.8,94038,118828,10.67,0,55.2,3.1,26,21,50.7,36.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",94044,2297,2665,3350,2618,2600,36,88,14,7,37296,2542.8,96014,113061,14.67,0,64.9,2.6,19.4,16.8,48.9,41.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
